wave-length,optical-strength,light
649,0.359762141,36.3
650,0.361744301,36.5
651,0.362735382,36.6
652,0.364717542,36.8
653,0.365708622,36.9
654,0.367063492,37
655,0.368055556,37.1
656,0.369047619,37.2
657,0.370039683,37.3
658,0.369672944,37.3
659,0.371031746,37.4
660,0.37202381,37.5
661,0.37202381,37.5
662,0.373015873,37.6
663,0.372646184,37.6
664,0.373637265,37.7
665,0.373637265,37.7
666,0.374628345,37.8
667,0.374628345,37.8
668,0.374628345,37.8
669,0.375619425,37.9
670,0.375619425,37.9
671,0.375619425,37.9
672,0.375619425,37.9
673,0.376610505,38
674,0.376237624,38
675,0.376237624,38
676,0.376237624,38
677,0.376237624,38
678,0.377227723,38.1
679,0.377227723,38.1
680,0.377227723,38.1
681,0.377227723,38.1
682,0.377227723,38.1
683,0.378217822,38.2
684,0.378217822,38.2
685,0.378217822,38.2
686,0.378217822,38.2
687,0.377843719,38.2
688,0.378832839,38.3
689,0.378832839,38.3
690,0.378832839,38.3
691,0.378832839,38.3
692,0.378832839,38.3
693,0.378832839,38.3
694,0.379821958,38.4
695,0.379821958,38.4
696,0.379821958,38.4
697,0.379821958,38.4
698,0.379821958,38.4
699,0.379821958,38.4
700,0.380811078,38.5
701,0.380811078,38.5
702,0.380811078,38.5
703,0.380811078,38.5
704,0.380811078,38.5
705,0.380811078,38.5
706,0.381800198,38.6
707,0.381422925,38.6
708,0.381422925,38.6
709,0.381422925,38.6
710,0.381422925,38.6
711,0.381422925,38.6
712,0.381422925,38.6
713,0.382411067,38.7
714,0.382411067,38.7
715,0.382411067,38.7
716,0.382033564,38.7
717,0.382411067,38.7
718,0.382411067,38.7
719,0.383399209,38.8
720,0.383399209,38.8
721,0.383399209,38.8
722,0.383399209,38.8
723,0.383399209,38.8
724,0.383399209,38.8
725,0.384387352,38.9
726,0.384387352,38.9
727,0.384387352,38.9
728,0.384007897,38.9
729,0.384387352,38.9
730,0.384007897,38.9
731,0.384007897,38.9
732,0.385375494,39
733,0.384995064,39
734,0.384995064,39
735,0.384995064,39
736,0.384995064,39
737,0.384995064,39
738,0.385982231,39.1
739,0.385982231,39.1
740,0.385982231,39.1
741,0.385982231,39.1
742,0.385982231,39.1
743,0.385982231,39.1
744,0.385601578,39.1
745,0.385601578,39.1
746,0.385982231,39.1
747,0.386587771,39.2
748,0.386587771,39.2
749,0.386587771,39.2
750,0.386587771,39.2
