wave-length,optical-strength,light
645,0.445302,0.148434
646,0.436533,0.145511
647,0.42873,0.14291
648,0.421194,0.140398
649,0.413121,0.137707
650,0.404634,0.134878
651,0.396225,0.132075
652,0.388302,0.129434
653,0.380811,0.126937
654,0.37329,0.12443
655,0.365385,0.121795
656,0.357801,0.119267
657,0.350934,0.116978
658,0.344532,0.114844
659,0.337896,0.112632
660,0.330438,0.110146
661,0.322398,0.107466
662,0.314784,0.104928
663,0.308145,0.102715
664,0.301512,0.100504
665,0.294024,0.098008
666,0.287244,0.095748
667,0.282024,0.094008
668,0.27768,0.09256
669,0.272604,0.090868
670,0.265989,0.088663
671,0.258624,0.086208
672,0.251862,0.083954
673,0.246645,0.082215
674,0.243177,0.081059
675,0.239946,0.079982
676,0.23592,0.07864
677,0.230766,0.076922
678,0.224952,0.074984
679,0.219483,0.073161
680,0.214428,0.071476
681,0.209586,0.069862
682,0.204915,0.068305
683,0.200145,0.066715
684,0.195114,0.065038
685,0.190125,0.063375
686,0.185589,0.061863
687,0.181845,0.060615
688,0.178698,0.059566
689,0.175338,0.058446
690,0.171342,0.057114
691,0.166113,0.055371
692,0.16005,0.05335
693,0.154776,0.051592
694,0.150936,0.050312
695,0.148422,0.049474
696,0.145773,0.048591
697,0.142224,0.047408
698,0.138162,0.046054
699,0.134145,0.044715
700,0.130704,0.043568
701,0.127599,0.042533
702,0.124215,0.041405
703,0.120477,0.040159
704,0.11703,0.03901
705,0.114327,0.038109
706,0.111738,0.037246
707,0.108471,0.036157
708,0.10479,0.03493
709,0.101556,0.033852
710,0.099471,0.033157
711,0.097968,0.032656
712,0.09705,0.03235
713,0.09591,0.03197
714,0.09402,0.03134
715,0.091965,0.030655
716,0.09057,0.03019
717,0.089397,0.029799
718,0.087477,0.029159
719,0.084465,0.028155
720,0.081315,0.027105
721,0.078372,0.026124
722,0.075645,0.025215
723,0.073404,0.024468
724,0.071415,0.023805
725,0.069375,0.023125
726,0.067944,0.022648
727,0.067596,0.022532
728,0.06669,0.02223
729,0.064497,0.021499
730,0.061572,0.020524
731,0.05952,0.01984
732,0.057885,0.019295
733,0.056211,0.018737
734,0.054852,0.018284
735,0.053778,0.017926
736,0.052692,0.017564
737,0.051801,0.017267
738,0.05124,0.01708
739,0.050781,0.016927
740,0.050286,0.016762
741,0.04998,0.01666
742,0.048468,0.016156
743,0.045867,0.015289
744,0.043122,0.014374
745,0.041922,0.013974
746,0.042033,0.014011
747,0.042141,0.014047
748,0.04194,0.01398
749,0.040668,0.013556
750,0.039084,0.013028
