wave-length,optical-strength,light
676,0.555375307,0.603668812
677,0.559974697,0.608668149
678,0.564410121,0.613489262
679,0.568699124,0.618151222
680,0.573063804,0.622895439
681,0.577681509,0.627914684
682,0.582489185,0.633140419
683,0.587280971,0.638348881
684,0.591979238,0.643455694
685,0.596740195,0.648630647
686,0.60174567,0.65407138
687,0.606954916,0.659733604
688,0.611858709,0.665063814
689,0.616216709,0.669800771
690,0.620408504,0.67435707
691,0.624953545,0.679297332
692,0.630117102,0.684909894
693,0.635466746,0.690724724
694,0.640753255,0.696470929
695,0.645934167,0.702102355
696,0.651323603,0.707960438
697,0.656969012,0.714096752
698,0.662529409,0.720140662
699,0.667756238,0.725821998
700,0.672847227,0.731355682
701,0.678003743,0.73696059
702,0.68311498,0.742516283
703,0.687829021,0.74764024
704,0.69211227,0.752295946
705,0.696541263,0.757110068
706,0.701473717,0.762471432
707,0.707245474,0.76874508
708,0.713155678,0.775169215
709,0.718427529,0.780899488
710,0.723116043,0.785995699
711,0.727880589,0.791174553
712,0.733295231,0.797060034
713,0.738973599,0.803232173
714,0.744440874,0.809174863
715,0.749821783,0.815023677
716,0.755547519,0.821247303
717,0.76154614,0.827767543
718,0.767142619,0.833850673
719,0.77207826,0.8392155
720,0.776570385,0.844098245
721,0.78159747,0.849562467
722,0.787358231,0.855824164
723,0.79328606,0.862267456
724,0.79893306,0.8684055
725,0.803953754,0.873862776
726,0.808858355,0.879193864
727,0.814206137,0.885006671
728,0.820012227,0.891317638
729,0.826100114,0.897934906
730,0.831675003,0.903994568
731,0.836608956,0.909357561
732,0.841719436,0.91491243
733,0.847372309,0.921056858
734,0.853363675,0.927569212
735,0.85923064,0.933946348
736,0.86535423,0.940602424
737,0.871473378,0.947253672
738,0.877023413,0.953286319
739,0.882130978,0.95883802
740,0.887410949,0.964577118
741,0.892982607,0.970633268
742,0.89822016,0.976326261
743,0.903044766,0.981570398
744,0.908330985,0.987316288
745,0.914343091,0.993851186
746,0.921032902,1.00112272
747,0.927425208,1.008070878
748,0.933011299,1.014142716
749,0.938584837,1.02020091
750,0.944626957,1.026768431
